Round Number,Date,Location,Home Team,Away Team,Result
1,28/12/2020 08:05,GMHBA Stadium,Western United FC,Adelaide United,0 - 0
1,29/12/2020 08:05,"Dolphin Stadium, Redcliffe",Brisbane Roar FC,Melbourne City FC,0 - 1
1,30/12/2020 08:10,Bankwest Stadium,Western Sydney Wanderers FC,Macarthur FC,0 - 1
1,31/12/2020 08:05,Central Coast Stadium,Central Coast Mariners,Newcastle Jets,1 - 0
2,02/01/2021 06:05,WIN Stadium,Wellington Phoenix,Sydney FC,1 - 2
2,02/01/2021 08:10,AAMI Park,Melbourne Victory,Brisbane Roar FC,1 - 3
2,03/01/2021 05:05,Campbelltown Stadium,Macarthur FC,Central Coast Mariners,0 - 2
2,03/01/2021 07:05,Coopers Stadium,Adelaide United,Melbourne City FC,2 - 0
3,08/01/2021 08:10,McDonald Jones Stadium,Newcastle Jets,Western Sydney Wanderers FC,1 - 2
3,09/01/2021 06:05,Campbelltown Stadium,Macarthur FC,Wellington Phoenix,1 - 1
4,16/01/2021 06:05,Stadium Australia,Sydney FC,Western Sydney Wanderers FC,1 - 1
4,16/01/2021 08:10,AAMI Park,Melbourne City FC,Western United FC,2 - 1
4,17/01/2021 05:05,McDonald Jones Stadium,Newcastle Jets,Macarthur FC,1 - 2
4,19/01/2021 08:05,Central Coast Stadium,Central Coast Mariners,Western Sydney Wanderers FC,0 - 1
4,20/01/2021 08:05,McDonald Jones Stadium,Newcastle Jets,Brisbane Roar FC,1 - 2
4,20/01/2021 10:20,HBF Park,Perth Glory,Adelaide United,5 - 3
5,22/01/2021 08:05,Netstrata Jubilee Stadium,Sydney FC,Central Coast Mariners,0 - 2
5,23/01/2021 06:05,GMHBA Stadium,Western United FC,Perth Glory,5 - 4
5,23/01/2021 08:40,Coopers Stadium,Adelaide United,Melbourne Victory,1 - 0
5,24/01/2021 07:10,WIN Stadium,Wellington Phoenix,Newcastle Jets,1 - 2
5,26/01/2021 08:05,AAMI Park,Melbourne Victory,Perth Glory,2 - 1
6,29/01/2021 08:05,Bankwest Stadium,Western Sydney Wanderers FC,Newcastle Jets,1 - 1
6,30/01/2021 06:05,AAMI Park,Western United FC,Melbourne Victory,0 - 0
6,30/01/2021 08:10,Campbelltown Stadium,Macarthur FC,Sydney FC,0 - 3
6,30/01/2021 10:40,"Dolphin Stadium, Redcliffe",Brisbane Roar FC,Adelaide United,3 - 1
6,31/01/2021 05:05,Central Coast Stadium,Central Coast Mariners,Wellington Phoenix,1 - 2
6,31/01/2021 07:40,AAMI Park,Melbourne City FC,Perth Glory,1 - 3
6,03/02/2021 08:05,Central Coast Stadium,Central Coast Mariners,Melbourne City FC,3 - 2
7,05/02/2021 08:05,Coopers Stadium,Adelaide United,Perth Glory,1 - 2
7,06/02/2021 06:05,"Dolphin Stadium, Redcliffe",Brisbane Roar FC,Melbourne Victory,5 - 2
7,06/02/2021 08:10,Campbelltown Stadium,Macarthur FC,Western Sydney Wanderers FC,2 - 2
7,07/02/2021 05:05,McDonald Jones Stadium,Newcastle Jets,Melbourne City FC,1 - 0
7,07/02/2021 07:10,Central Coast Stadium,Central Coast Mariners,Western United FC,3 - 2
7,08/02/2021 08:10,Netstrata Jubilee Stadium,Sydney FC,Wellington Phoenix,2 - 1
7,09/02/2021 08:35,"Dolphin Stadium, Redcliffe",Brisbane Roar FC,Macarthur FC,0 - 2
7,10/02/2021 08:05,Bankwest Stadium,Western Sydney Wanderers FC,Melbourne Victory,2 - 0
8,12/02/2021 08:05,Campbelltown Stadium,Macarthur FC,Adelaide United,4 - 0
8,13/02/2021 06:05,AAMI Park,Western United FC,Sydney FC,
8,13/02/2021 08:10,Bankwest Stadium,Western Sydney Wanderers FC,Melbourne City FC,
8,14/02/2021 05:05,WIN Stadium,Wellington Phoenix,Central Coast Mariners,
8,14/02/2021 07:10,"Dolphin Stadium, Redcliffe",Brisbane Roar FC,Newcastle Jets,
8,16/02/2021 08:05,AAMI Park,Melbourne City FC,Sydney FC,
8,17/02/2021 08:05,AAMI Park,Melbourne Victory,Wellington Phoenix,
9,19/02/2021 08:05,Coopers Stadium,Adelaide United,Central Coast Mariners,
9,20/02/2021 06:05,Mars Stadium,Western United FC,Macarthur FC,
9,20/02/2021 08:10,Netstrata Jubilee Stadium,Sydney FC,Brisbane Roar FC,
9,20/02/2021 10:20,HBF Park,Perth Glory,Melbourne City FC,
9,21/02/2021 05:05,AAMI Park,Melbourne Victory,Newcastle Jets,
9,21/02/2021 07:10,WIN Stadium,Wellington Phoenix,Western Sydney Wanderers FC,
9,24/02/2021 08:05,Coopers Stadium,Adelaide United,Western United FC,
10,26/02/2021 08:05,AAMI Park,Melbourne City FC,Brisbane Roar FC,
10,27/02/2021 06:05,Bankwest Stadium,Western Sydney Wanderers FC,Central Coast Mariners,
10,27/02/2021 08:10,Marvel Stadium,Melbourne Victory,Adelaide United,
10,27/02/2021 10:20,HBF Park,Perth Glory,Macarthur FC,
10,27/02/2021 10:20,HBF Park,Perth Glory,Western United FC,
10,28/02/2021 05:05,Netstrata Jubilee Stadium,Sydney FC,Macarthur FC,
10,28/02/2021 07:00,AAMI Park,Melbourne City FC,Wellington Phoenix,
10,28/02/2021 07:10,McDonald Jones Stadium,Newcastle Jets,Wellington Phoenix,
10,01/03/2021 08:00,McDonald Jones Stadium,Newcastle Jets,Brisbane Roar FC,
10,03/03/2021 08:00,WIN Stadium,Wellington Phoenix,Western United FC,
10,03/03/2021 10:20,HBF Park,Perth Glory,Brisbane Roar FC,
11,05/03/2021 08:00,Coopers Stadium,Adelaide United,Macarthur FC,
11,06/03/2021 06:00,"Dolphin Stadium, Redcliffe",Brisbane Roar FC,Sydney FC,
11,06/03/2021 08:00,Marvel Stadium,Melbourne Victory,Melbourne City FC,
11,07/03/2021 05:00,WIN Stadium,Wellington Phoenix,Perth Glory,
11,07/03/2021 07:05,Mars Stadium,Western United FC,Western Sydney Wanderers FC,
11,08/03/2021 08:00,Central Coast Stadium,Central Coast Mariners,Newcastle Jets,
11,10/03/2021 08:00,"Dolphin Stadium, Redcliffe",Brisbane Roar FC,Perth Glory,
12,12/03/2021 08:00,AAMI Park,Melbourne City FC,Macarthur FC,
12,13/03/2021 06:00,Coopers Stadium,Adelaide United,Brisbane Roar FC,
12,13/03/2021 08:00,Marvel Stadium,Melbourne Victory,Western United FC,
12,13/03/2021 10:20,HBF Park,Perth Glory,Central Coast Mariners,
12,14/03/2021 07:40,WIN Stadium,Sydney FC,Newcastle Jets,
12,15/03/2021 08:00,Bankwest Stadium,Western Sydney Wanderers FC,Wellington Phoenix,
