         team         | g  | w  | d  | l  | gf | ga | gd  | pts 
----------------------+----+----+----+----+----+----+-----+-----
 Chelsea              | 38 | 26 |  9 |  3 | 73 | 32 |  41 |  87
 Manchester City      | 38 | 24 |  7 |  7 | 83 | 38 |  45 |  79
 Arsenal              | 38 | 22 |  9 |  7 | 71 | 36 |  35 |  75
 Manchester United    | 38 | 20 | 10 |  8 | 62 | 37 |  25 |  70
 Tottenham Hotspur    | 38 | 19 |  7 | 12 | 58 | 53 |   5 |  64
 Liverpool            | 38 | 18 |  8 | 12 | 52 | 48 |   4 |  62
 Southampton          | 38 | 18 |  6 | 14 | 54 | 33 |  21 |  60
 Swansea City         | 38 | 16 |  8 | 14 | 46 | 49 |  -3 |  56
 Stoke City           | 38 | 15 |  9 | 14 | 48 | 45 |   3 |  54
 Crystal Palace       | 38 | 13 |  9 | 16 | 47 | 51 |  -4 |  48
 Everton              | 38 | 12 | 11 | 15 | 48 | 50 |  -2 |  47
 West Ham United      | 38 | 12 | 11 | 15 | 44 | 47 |  -3 |  47
 West Bromwich Albion | 38 | 11 | 11 | 16 | 38 | 51 | -13 |  44
 Leicester City       | 38 | 11 |  8 | 19 | 46 | 55 |  -9 |  41
 Newcastle United     | 38 | 10 |  9 | 19 | 40 | 63 | -23 |  39
 Sunderland           | 38 |  7 | 17 | 14 | 31 | 53 | -22 |  38
 Aston Villa          | 38 | 10 |  8 | 20 | 31 | 57 | -26 |  38
 Hull City            | 38 |  8 | 11 | 19 | 33 | 51 | -18 |  35
 Burnley              | 38 |  7 | 12 | 19 | 28 | 53 | -25 |  33
 Queens Park Rangers  | 38 |  8 |  6 | 24 | 42 | 73 | -31 |  30
(20 rows)

