     team     | p  | w  | d  | l  | gf | ga | gd  | pts 
--------------+----+----+----+----+----+----+-----+-----
 Urawa Reds   | 36 | 24 |  5 |  7 | 63 | 30 |  33 |  77
 Kawasaki     | 35 | 22 |  6 |  7 | 68 | 40 |  28 |  72
 Kashima      | 37 | 20 |  5 | 12 | 56 | 36 |  20 |  65
 Gamba Osaka  | 34 | 17 |  7 | 10 | 53 | 42 |  11 |  58
 Omiya Ardija | 34 | 15 | 11 |  8 | 41 | 36 |   5 |  56
 Sanfreece    | 34 | 16 |  7 | 11 | 58 | 40 |  18 |  55
 Vissel Kobe  | 34 | 16 |  7 | 11 | 56 | 43 |  13 |  55
 Kashiwa Reys | 34 | 15 |  9 | 10 | 52 | 44 |   8 |  54
 FC Tokyo     | 34 | 15 |  7 | 12 | 39 | 39 |   0 |  52
 Yokohama FC  | 34 | 13 | 12 |  9 | 53 | 38 |  15 |  51
 Sagan Tosu   | 34 | 12 | 10 | 12 | 36 | 37 |  -1 |  46
 Vegalta Send | 34 | 13 |  4 | 17 | 39 | 48 |  -9 |  43
 Jubilo Iwata | 34 |  8 | 12 | 14 | 37 | 50 | -13 |  36
 V Kofu       | 34 |  7 | 10 | 17 | 32 | 58 | -26 |  31
 Albirex      | 34 |  8 |  6 | 20 | 33 | 49 | -16 |  30
 Nagoya       | 34 |  7 |  9 | 18 | 38 | 58 | -20 |  30
 Shonan Bellm | 34 |  7 |  6 | 21 | 30 | 56 | -26 |  27
 A Fukuoka    | 34 |  4 |  7 | 23 | 26 | 66 | -40 |  19
(18 rows)

