    team     | p  | w  | d | l  | gf | ga | gd  | pts 
-------------+----+----+---+----+----+----+-----+-----
 Monaco      | 26 | 18 | 5 |  3 | 76 | 24 |  52 |  59
 PSG         | 26 | 17 | 5 |  4 | 50 | 18 |  32 |  56
 Nice        | 26 | 16 | 8 |  2 | 42 | 20 |  22 |  56
 Lyon        | 26 | 14 | 1 | 11 | 49 | 32 |  17 |  43
 St Etienne  | 26 | 10 | 9 |  7 | 31 | 21 |  10 |  39
 Marseille   | 26 | 11 | 6 |  9 | 35 | 31 |   4 |  39
 Bordeaux    | 26 | 10 | 9 |  7 | 32 | 31 |   1 |  39
 Toulouse    | 26 |  9 | 7 | 10 | 31 | 28 |   3 |  34
 Guingamp    | 26 |  9 | 7 | 10 | 30 | 33 |  -3 |  34
 Rennes      | 26 |  8 | 9 |  9 | 25 | 31 |  -6 |  33
 Metz        | 26 |  9 | 6 | 11 | 26 | 45 | -19 |  33
 Montpellier | 26 |  8 | 8 | 10 | 38 | 43 |  -5 |  32
 Angers      | 26 |  8 | 6 | 12 | 22 | 33 | -11 |  30
 Nantes      | 25 |  8 | 6 | 11 | 19 | 34 | -15 |  30
 Lille       | 26 |  8 | 5 | 13 | 24 | 32 |  -8 |  29
 Caen        | 26 |  8 | 4 | 14 | 26 | 43 | -17 |  28
 Dijon FCO   | 26 |  6 | 9 | 11 | 36 | 41 |  -5 |  27
 Nancy       | 26 |  7 | 6 | 13 | 18 | 34 | -16 |  27
 Bastia      | 25 |  5 | 8 | 12 | 22 | 33 | -11 |  23
 Lorient     | 26 |  6 | 4 | 16 | 27 | 52 | -25 |  22
(20 rows)

