    team     | p  | w | d | l | gf | ga | gd  | pts 
-------------+----+---+---+---+----+----+-----+-----
 Chelsea     | 12 | 9 | 1 | 2 | 27 |  9 |  18 |  28
 Liverpool   | 12 | 8 | 3 | 1 | 30 | 14 |  16 |  27
 Man City    | 12 | 8 | 3 | 1 | 27 | 11 |  16 |  27
 Arsenal     | 12 | 7 | 4 | 1 | 25 | 12 |  13 |  25
 Tottenham   | 12 | 6 | 6 | 0 | 18 |  8 |  10 |  24
 Man Utd     | 12 | 5 | 4 | 3 | 17 | 14 |   3 |  19
 Everton     | 12 | 5 | 4 | 3 | 16 | 14 |   2 |  19
 Watford     | 12 | 5 | 3 | 4 | 17 | 20 |  -3 |  18
 Bournemouth | 12 | 4 | 3 | 5 | 14 | 16 |  -2 |  15
 Southampton | 12 | 3 | 5 | 4 | 12 | 12 |   0 |  14
 Burnley     | 11 | 4 | 2 | 5 | 11 | 15 |  -4 |  14
 West Brom   | 11 | 3 | 4 | 4 | 12 | 15 |  -3 |  13
 Stoke       | 12 | 3 | 4 | 5 | 13 | 19 |  -6 |  13
 Leicester   | 12 | 3 | 3 | 6 | 14 | 20 |  -6 |  12
 Boro        | 12 | 2 | 5 | 5 | 10 | 13 |  -3 |  11
 C Palace    | 12 | 3 | 2 | 7 | 17 | 21 |  -4 |  11
 West Ham    | 12 | 3 | 2 | 7 | 13 | 23 | -10 |  11
 Hull        | 12 | 3 | 1 | 8 | 10 | 27 | -17 |  10
 Sunderland  | 12 | 2 | 2 | 8 | 12 | 21 |  -9 |   8
 Swansea     | 12 | 1 | 3 | 8 | 11 | 22 | -11 |   6
(20 rows)

