     team     | p  | w  | d  | l  | gf | ga | gd  | pts 
--------------+----+----+----+----+----+----+-----+-----
 FC Porto     | 22 | 16 |  5 |  1 | 45 | 11 |  34 |  53
 Benfica      | 22 | 16 |  4 |  2 | 47 | 12 |  35 |  52
 Sporting     | 22 | 13 |  5 |  4 | 40 | 24 |  16 |  44
 Braga        | 22 | 11 |  6 |  5 | 32 | 18 |  14 |  39
 Guimaraes    | 22 | 10 |  6 |  6 | 30 | 25 |   5 |  36
 GD Chaves    | 22 |  7 | 11 |  4 | 23 | 19 |   4 |  32
 Maritimo     | 21 |  9 |  5 |  7 | 18 | 16 |   2 |  32
 Boavista     | 22 |  7 |  8 |  7 | 24 | 24 |   0 |  29
 Setubal      | 22 |  8 |  5 |  9 | 22 | 22 |   0 |  29
 Rio Ave      | 22 |  8 |  4 | 10 | 25 | 29 |  -4 |  28
 Arouca       | 22 |  8 |  3 | 11 | 21 | 30 |  -9 |  27
 Belenenses   | 22 |  6 |  8 |  8 | 15 | 20 |  -5 |  26
 Feirense     | 22 |  7 |  4 | 11 | 18 | 35 | -17 |  25
 Ferreira     | 22 |  6 |  5 | 11 | 24 | 35 | -11 |  23
 Estoril      | 22 |  5 |  5 | 12 | 17 | 27 | -10 |  20
 Moreirense   | 22 |  5 |  4 | 13 | 21 | 35 | -14 |  19
 Nacional Mad | 21 |  3 |  5 | 13 | 16 | 33 | -17 |  14
 Tondela      | 22 |  3 |  5 | 14 | 15 | 38 | -23 |  14
(18 rows)

